,,BAGGING,BAGGING,BAGGING,BAGGING
,,"base_estimator=DecisionTreeClassifier(max_depth=4),n_estimators=10,max_features=1.0","base_estimator=DecisionTreeClassifier(max_depth=4),n_estimators=10,max_features=0.5","base_estimator=DecisionTreeClassifier(max_depth=4),n_estimators=20,max_features=1.0","base_estimator=DecisionTreeClassifier(max_depth=4),n_estimators=20,max_features=0.5"
dataset,train/test_type,,,,
normal_d=1764,70/30-HOLDOUT,0.36,0.4033333333333333,0.4166666666666667,0.42
normal_d=1764,80/20-HOLDOUT,0.42,0.37,0.42,0.445
normal_d=1764,90/10-HOLDOUT,0.38,0.41,0.5,0.52
normal_d=1764,10-FOLD,0.396,0.417,0.422,0.433
normal_d=900,70/30-HOLDOUT,0.39666666666666667,0.41333333333333333,0.44,0.42333333333333334
normal_d=900,80/20-HOLDOUT,0.48,0.455,0.48,0.515
normal_d=900,90/10-HOLDOUT,0.53,0.49,0.44,0.47
normal_d=900,10-FOLD,0.418,0.413,0.44800000000000006,0.44000000000000006
pca_d=459,70/30-HOLDOUT,0.3566666666666667,0.37,0.4033333333333333,0.38666666666666666
pca_d=459,80/20-HOLDOUT,0.395,0.335,0.395,0.38
pca_d=459,90/10-HOLDOUT,0.46,0.38,0.4,0.44
pca_d=459,10-FOLD,0.395,0.36700000000000005,0.4050000000000001,0.41200000000000003
noncorr_d=540,70/30-HOLDOUT,0.3566666666666667,0.38333333333333336,0.35333333333333333,0.38666666666666666
noncorr_d=540,80/20-HOLDOUT,0.34,0.315,0.45,0.41
noncorr_d=540,90/10-HOLDOUT,0.45,0.44,0.49,0.4
noncorr_d=540,10-FOLD,0.40099999999999997,0.393,0.41100000000000003,0.44400000000000006
