,,BAGGING,BAGGING,BAGGING,BAGGING
,,"base_estimator=KNeighborsClassifier(n_neighbors=3),n_estimators=10,max_features=1.0","base_estimator=KNeighborsClassifier(n_neighbors=3),n_estimators=10,max_features=0.5","base_estimator=KNeighborsClassifier(n_neighbors=3),n_estimators=20,max_features=1.0","base_estimator=KNeighborsClassifier(n_neighbors=3),n_estimators=20,max_features=0.5"
dataset,train/test_type,,,,
normal_d=1764,70/30-HOLDOUT,0.29,0.31666666666666665,0.30666666666666664,0.3333333333333333
normal_d=1764,80/20-HOLDOUT,0.285,0.3,0.31,0.285
normal_d=1764,90/10-HOLDOUT,0.35,0.32,0.31,0.31
normal_d=1764,10-FOLD,0.33499999999999996,0.34199999999999997,0.33999999999999997,0.32799999999999996
normal_d=900,70/30-HOLDOUT,0.36333333333333334,0.36666666666666664,0.37,0.3933333333333333
normal_d=900,80/20-HOLDOUT,0.45,0.41,0.445,0.41
normal_d=900,90/10-HOLDOUT,0.48,0.5,0.52,0.47
normal_d=900,10-FOLD,0.38099999999999995,0.378,0.386,0.39899999999999997
pca_d=459,70/30-HOLDOUT,0.2833333333333333,0.30333333333333334,0.30666666666666664,0.2833333333333333
pca_d=459,80/20-HOLDOUT,0.32,0.325,0.285,0.32
pca_d=459,90/10-HOLDOUT,0.35,0.31,0.34,0.34
pca_d=459,10-FOLD,0.33199999999999996,0.335,0.347,0.32999999999999996
noncorr_d=540,70/30-HOLDOUT,0.2833333333333333,0.31333333333333335,0.31333333333333335,0.2966666666666667
noncorr_d=540,80/20-HOLDOUT,0.315,0.26,0.3,0.3
noncorr_d=540,90/10-HOLDOUT,0.35,0.33,0.34,0.32
noncorr_d=540,10-FOLD,0.315,0.32199999999999995,0.321,0.31900000000000006
