,,BAGGING,BAGGING,BAGGING,BAGGING
,,"base_estimator=MLPClassifier(max_iter=1000),n_estimators=10,max_features=1.0,base_estimator__hidden_layer_sizes=OA,n_jobs=-1","base_estimator=MLPClassifier(max_iter=1000),n_estimators=10,max_features=0.5,base_estimator__hidden_layer_sizes=OA,n_jobs=-1","base_estimator=MLPClassifier(max_iter=1000),n_estimators=20,max_features=1.0,base_estimator__hidden_layer_sizes=OA,n_jobs=-1","base_estimator=MLPClassifier(max_iter=1000),n_estimators=20,max_features=0.5,base_estimator__hidden_layer_sizes=OA,n_jobs=-1"
dataset,train/test_type,,,,
normal_d=1764,70/30-HOLDOUT,0.5233333333333333,0.5266666666666666,0.53,0.54
normal_d=1764,80/20-HOLDOUT,0.565,0.525,0.55,0.545
normal_d=1764,90/10-HOLDOUT,0.51,0.52,0.53,0.54
normal_d=1764,10-FOLD,0.5660000000000001,0.5730000000000001,0.572,0.5689999999999998
normal_d=900,70/30-HOLDOUT,0.5833333333333334,0.5633333333333334,0.5733333333333334,0.5633333333333334
normal_d=900,80/20-HOLDOUT,0.61,0.605,0.605,0.61
normal_d=900,90/10-HOLDOUT,0.63,0.61,0.62,0.59
normal_d=900,10-FOLD,0.5850000000000001,0.5790000000000001,0.569,0.5880000000000001
pca_d=459,70/30-HOLDOUT,0.49666666666666665,0.45666666666666667,0.5033333333333333,0.47
pca_d=459,80/20-HOLDOUT,0.515,0.445,0.515,0.495
pca_d=459,90/10-HOLDOUT,0.53,0.49,0.55,0.5
pca_d=459,10-FOLD,0.545,0.47700000000000004,0.532,0.517
noncorr_d=540,70/30-HOLDOUT,0.51,0.52,0.5266666666666666,0.5
noncorr_d=540,80/20-HOLDOUT,0.52,0.51,0.515,0.52
noncorr_d=540,90/10-HOLDOUT,0.55,0.57,0.54,0.48
noncorr_d=540,10-FOLD,0.546,0.529,0.557,0.5519999999999999
