,,BAGGING,BAGGING,BAGGING,BAGGING
,,"base_estimator=GaussianNB(),n_estimators=10,max_features=1.0","base_estimator=GaussianNB(),n_estimators=10,max_features=0.5","base_estimator=GaussianNB(),n_estimators=20,max_features=1.0","base_estimator=GaussianNB(),n_estimators=20,max_features=0.5"
dataset,train/test_type,,,,
normal_d=1764,70/30-HOLDOUT,0.5133333333333333,0.49,0.49,0.51
normal_d=1764,80/20-HOLDOUT,0.5,0.515,0.51,0.525
normal_d=1764,90/10-HOLDOUT,0.45,0.47,0.5,0.5
normal_d=1764,10-FOLD,0.507,0.5,0.5119999999999999,0.5149999999999999
normal_d=900,70/30-HOLDOUT,0.55,0.5433333333333333,0.54,0.55
normal_d=900,80/20-HOLDOUT,0.615,0.59,0.565,0.58
normal_d=900,90/10-HOLDOUT,0.63,0.65,0.64,0.63
normal_d=900,10-FOLD,0.534,0.526,0.533,0.53
pca_d=459,70/30-HOLDOUT,0.41333333333333333,0.4033333333333333,0.4166666666666667,0.3933333333333333
pca_d=459,80/20-HOLDOUT,0.44,0.445,0.445,0.39
pca_d=459,90/10-HOLDOUT,0.47,0.48,0.48,0.48
pca_d=459,10-FOLD,0.42699999999999994,0.406,0.404,0.39999999999999997
noncorr_d=540,70/30-HOLDOUT,0.49333333333333335,0.5,0.5,0.49666666666666665
noncorr_d=540,80/20-HOLDOUT,0.495,0.5,0.505,0.52
noncorr_d=540,90/10-HOLDOUT,0.46,0.42,0.46,0.45
noncorr_d=540,10-FOLD,0.49799999999999994,0.5,0.48699999999999993,0.488
