,,BOOSTING,BOOSTING
,,"base_estimator=GaussianNB(),n_estimators=10","base_estimator=GaussianNB(),n_estimators=20"
dataset,train/test_type,,
normal_d=1764,70/30-HOLDOUT,0.31666666666666665,0.36333333333333334
normal_d=1764,80/20-HOLDOUT,0.32,0.22
normal_d=1764,90/10-HOLDOUT,0.27,0.16
normal_d=1764,10-FOLD,0.24100000000000002,0.25600000000000006
normal_d=900,70/30-HOLDOUT,0.34,0.21666666666666667
normal_d=900,80/20-HOLDOUT,0.33,0.29
normal_d=900,90/10-HOLDOUT,0.28,0.19
normal_d=900,10-FOLD,0.2739999999999999,0.262
pca_d=459,70/30-HOLDOUT,0.21666666666666667,0.23333333333333334
pca_d=459,80/20-HOLDOUT,0.245,0.22
pca_d=459,90/10-HOLDOUT,0.28,0.3
pca_d=459,10-FOLD,0.22300000000000003,0.25299999999999995
noncorr_d=540,70/30-HOLDOUT,0.27,0.27666666666666667
noncorr_d=540,80/20-HOLDOUT,0.3,0.345
noncorr_d=540,90/10-HOLDOUT,0.36,0.26
noncorr_d=540,10-FOLD,0.253,0.271
