,,DT,DT,DT,DT,DT
,,max_depth=3,max_depth=4,max_depth=5,max_depth=6,max_depth=7
dataset,train/test_type,,,,,
normal_d=1764,70/30-HOLDOUT,0.31666666666666665,0.31666666666666665,0.31333333333333335,0.3233333333333333,0.28
normal_d=1764,80/20-HOLDOUT,0.3,0.305,0.29,0.355,0.37
normal_d=1764,90/10-HOLDOUT,0.35,0.32,0.31,0.33,0.35
normal_d=1764,10-FOLD,0.309,0.31900000000000006,0.31,0.311,0.334
normal_d=900,70/30-HOLDOUT,0.2966666666666667,0.35,0.3466666666666667,0.3333333333333333,0.31
normal_d=900,80/20-HOLDOUT,0.335,0.36,0.335,0.34,0.365
normal_d=900,90/10-HOLDOUT,0.31,0.34,0.4,0.44,0.47
normal_d=900,10-FOLD,0.311,0.347,0.377,0.384,0.366
pca_d=459,70/30-HOLDOUT,0.36,0.36333333333333334,0.32666666666666666,0.3566666666666667,0.31333333333333335
pca_d=459,80/20-HOLDOUT,0.325,0.335,0.375,0.315,0.315
pca_d=459,90/10-HOLDOUT,0.34,0.33,0.36,0.35,0.33
pca_d=459,10-FOLD,0.36,0.353,0.351,0.32100000000000006,0.312
noncorr_d=540,70/30-HOLDOUT,0.33,0.31333333333333335,0.28,0.30333333333333334,0.2866666666666667
noncorr_d=540,80/20-HOLDOUT,0.3,0.305,0.33,0.305,0.285
noncorr_d=540,90/10-HOLDOUT,0.36,0.3,0.32,0.34,0.33
noncorr_d=540,10-FOLD,0.3,0.312,0.28700000000000003,0.30100000000000005,0.31700000000000006
