,,MLP,MLP,MLP,MLP,MLP
,,"activation=relu,hidden_layer_sizes=O","activation=relu,hidden_layer_sizes=OA","activation=relu,hidden_layer_sizes=A","activation=relu,hidden_layer_sizes=AT","activation=relu,hidden_layer_sizes=T"
dataset,train/test_type,,,,,
normal_d=1764,70/30-HOLDOUT,0.43666666666666665,0.5333333333333333,0.5166666666666667,0.5333333333333333,0.5133333333333333
normal_d=1764,80/20-HOLDOUT,0.435,0.545,0.525,0.525,0.525
normal_d=1764,90/10-HOLDOUT,0.54,0.55,0.53,0.52,0.53
normal_d=1764,10-FOLD,0.46299999999999997,0.5700000000000001,0.5589999999999999,0.5599999999999999,0.563
normal_d=900,70/30-HOLDOUT,0.4633333333333333,0.59,0.5566666666666666,0.5266666666666666,0.5466666666666666
normal_d=900,80/20-HOLDOUT,0.52,0.57,0.625,0.6,0.605
normal_d=900,90/10-HOLDOUT,0.54,0.57,0.58,0.6,0.62
normal_d=900,10-FOLD,0.4800000000000001,0.5740000000000001,0.5690000000000001,0.574,0.581
pca_d=459,70/30-HOLDOUT,0.3233333333333333,0.4533333333333333,0.4633333333333333,0.45,0.4533333333333333
pca_d=459,80/20-HOLDOUT,0.365,0.42,0.42,0.49,0.48
pca_d=459,90/10-HOLDOUT,0.44,0.5,0.52,0.53,0.51
pca_d=459,10-FOLD,0.454,0.4879999999999999,0.497,0.502,0.526
noncorr_d=540,70/30-HOLDOUT,0.46,0.5066666666666667,0.51,0.54,0.51
noncorr_d=540,80/20-HOLDOUT,0.41,0.505,0.53,0.5,0.52
noncorr_d=540,90/10-HOLDOUT,0.49,0.5,0.51,0.54,0.48
noncorr_d=540,10-FOLD,0.454,0.519,0.5309999999999999,0.551,0.53
