,,MLP,MLP,MLP
,,"activation=relu,hidden_layer_sizes=OA,max_iter=100","activation=relu,hidden_layer_sizes=OA,max_iter=1000","activation=relu,hidden_layer_sizes=OA,max_iter=5000"
dataset,train/test_type,,,
normal_d=1764,70/30-HOLDOUT,0.52,0.5066666666666667,0.5366666666666666
normal_d=1764,80/20-HOLDOUT,0.495,0.515,0.545
normal_d=1764,90/10-HOLDOUT,0.54,0.54,0.54
normal_d=1764,10-FOLD,0.5639999999999998,0.568,0.5760000000000001
normal_d=900,70/30-HOLDOUT,0.5233333333333333,0.5466666666666666,0.5566666666666666
normal_d=900,80/20-HOLDOUT,0.6,0.605,0.605
normal_d=900,90/10-HOLDOUT,0.61,0.59,0.61
normal_d=900,10-FOLD,0.576,0.5710000000000001,0.5690000000000001
pca_d=459,70/30-HOLDOUT,0.36666666666666664,0.4633333333333333,0.42333333333333334
pca_d=459,80/20-HOLDOUT,0.475,0.455,0.5
pca_d=459,90/10-HOLDOUT,0.51,0.43,0.49
pca_d=459,10-FOLD,0.4960000000000001,0.504,0.483
noncorr_d=540,70/30-HOLDOUT,0.49,0.5166666666666667,0.4866666666666667
noncorr_d=540,80/20-HOLDOUT,0.49,0.49,0.51
noncorr_d=540,90/10-HOLDOUT,0.53,0.53,0.52
noncorr_d=540,10-FOLD,0.542,0.543,0.519
