,,MLP,MLP,MLP
,,"activation=relu,hidden_layer_sizes=OA,max_iter=1000,learning_rate_init=0.001","activation=relu,hidden_layer_sizes=OA,max_iter=1000,learning_rate_init=0.01","activation=relu,hidden_layer_sizes=OA,max_iter=1000,learning_rate_init=0.1"
dataset,train/test_type,,,
normal_d=1764,70/30-HOLDOUT,0.53,0.5366666666666666,0.4866666666666667
normal_d=1764,80/20-HOLDOUT,0.525,0.475,0.465
normal_d=1764,90/10-HOLDOUT,0.56,0.55,0.56
normal_d=1764,10-FOLD,0.577,0.5519999999999999,0.5210000000000001
normal_d=900,70/30-HOLDOUT,0.5366666666666666,0.5266666666666666,0.5033333333333333
normal_d=900,80/20-HOLDOUT,0.6,0.585,0.595
normal_d=900,90/10-HOLDOUT,0.58,0.62,0.61
normal_d=900,10-FOLD,0.5740000000000001,0.558,0.5229999999999999
pca_d=459,70/30-HOLDOUT,0.4633333333333333,0.4866666666666667,0.47
pca_d=459,80/20-HOLDOUT,0.425,0.52,0.45
pca_d=459,90/10-HOLDOUT,0.46,0.49,0.51
pca_d=459,10-FOLD,0.466,0.5120000000000001,0.46799999999999997
noncorr_d=540,70/30-HOLDOUT,0.5066666666666667,0.49333333333333335,0.42333333333333334
noncorr_d=540,80/20-HOLDOUT,0.485,0.51,0.405
noncorr_d=540,90/10-HOLDOUT,0.45,0.52,0.36
noncorr_d=540,10-FOLD,0.534,0.522,0.483
