,,RANDOM_FOREST,RANDOM_FOREST,RANDOM_FOREST,RANDOM_FOREST
,,"n_estimators=10,criterion=gini","n_estimators=10,criterion=entropy","n_estimators=100,criterion=gini","n_estimators=100,criterion=entropy"
dataset,train/test_type,,,,
normal_d=1764,70/30-HOLDOUT,0.37,0.39,0.48333333333333334,0.48
normal_d=1764,80/20-HOLDOUT,0.385,0.355,0.53,0.57
normal_d=1764,90/10-HOLDOUT,0.37,0.42,0.59,0.52
normal_d=1764,10-FOLD,0.361,0.362,0.5280000000000001,0.531
normal_d=900,70/30-HOLDOUT,0.3566666666666667,0.3466666666666667,0.51,0.51
normal_d=900,80/20-HOLDOUT,0.395,0.415,0.61,0.59
normal_d=900,90/10-HOLDOUT,0.43,0.4,0.6,0.58
normal_d=900,10-FOLD,0.404,0.409,0.542,0.532
pca_d=459,70/30-HOLDOUT,0.24666666666666667,0.2833333333333333,0.36333333333333334,0.32666666666666666
pca_d=459,80/20-HOLDOUT,0.305,0.25,0.4,0.405
pca_d=459,90/10-HOLDOUT,0.33,0.24,0.45,0.43
pca_d=459,10-FOLD,0.269,0.303,0.387,0.41100000000000003
noncorr_d=540,70/30-HOLDOUT,0.3233333333333333,0.36333333333333334,0.45,0.45
noncorr_d=540,80/20-HOLDOUT,0.34,0.34,0.53,0.51
noncorr_d=540,90/10-HOLDOUT,0.32,0.33,0.5,0.51
noncorr_d=540,10-FOLD,0.358,0.348,0.492,0.501
