,,STACKING,STACKING,STACKING
,,"estimators=[(mlp,MLPClassifier(max_iter=700)),(knn,KNeighborsClassifier(n_neighbors=3)),(gnb,GaussianNB())]","estimators=[(mlp1,MLPClassifier(activation=logistic,max_iter=700)),(mlp2,MLPClassifier(activation=tanh,max_iter=700)),(mlp3,MLPClassifier(max_iter=700)),(mlp4,MLPClassifier(max_iter=700)),(mlp5,MLPClassifier(max_iter=700)),(knn1,KNeighborsClassifier(n_neighbors=1)),(knn2,KNeighborsClassifier(n_neighbors=2)),(knn3,KNeighborsClassifier(n_neighbors=3)),(knn4,KNeighborsClassifier(n_neighbors=4)),(knn5,KNeighborsClassifier())]","estimators=[(mlp1,MLPClassifier(activation=logistic,max_iter=700)),(mlp2,MLPClassifier(activation=tanh,max_iter=700)),(mlp3,MLPClassifier(max_iter=700)),(mlp4,MLPClassifier(activation=logistic,max_iter=700)),(mlp5,MLPClassifier(activation=tanh,max_iter=700)),(mlp6,MLPClassifier(max_iter=700)),(mlp7,MLPClassifier(activation=logistic,max_iter=700)),(mlp8,MLPClassifier(activation=tanh,max_iter=700)),(mlp9,MLPClassifier(max_iter=700)),(knn1,KNeighborsClassifier(n_neighbors=1)),(knn2,KNeighborsClassifier(n_neighbors=2)),(knn3,KNeighborsClassifier(n_neighbors=3)),(knn4,KNeighborsClassifier(n_neighbors=4)),(knn5,KNeighborsClassifier()),(knn6,KNeighborsClassifier(n_neighbors=6)),(knn7,KNeighborsClassifier(n_neighbors=7)),(knn8,KNeighborsClassifier(n_neighbors=8)),(knn9,KNeighborsClassifier(n_neighbors=9)),(knn10,KNeighborsClassifier(n_neighbors=10)),(nb,GaussianNB())]"
dataset,train/test_type,,,
normal_d=1764,70/30-HOLDOUT,0.5366666666666666,0.51,0.5033333333333333
normal_d=1764,80/20-HOLDOUT,0.53,0.515,0.515
normal_d=1764,90/10-HOLDOUT,0.57,0.58,0.59
normal_d=1764,10-FOLD,0.5619999999999999,0.5810000000000001,0.5519999999999999
normal_d=900,70/30-HOLDOUT,0.5433333333333333,0.5833333333333334,0.5766666666666667
normal_d=900,80/20-HOLDOUT,0.64,0.61,0.585
normal_d=900,90/10-HOLDOUT,0.65,0.65,0.67
normal_d=900,10-FOLD,0.587,0.5870000000000001,0.577
pca_d=459,70/30-HOLDOUT,0.4866666666666667,0.4666666666666667,0.4533333333333333
pca_d=459,80/20-HOLDOUT,0.51,0.465,0.47
pca_d=459,90/10-HOLDOUT,0.5,0.53,0.52
pca_d=459,10-FOLD,0.5359999999999999,0.524,0.531
noncorr_d=540,70/30-HOLDOUT,0.5233333333333333,0.5033333333333333,0.5133333333333333
noncorr_d=540,80/20-HOLDOUT,0.52,0.49,0.53
noncorr_d=540,90/10-HOLDOUT,0.56,0.48,0.51
noncorr_d=540,10-FOLD,0.56,0.5389999999999999,0.519
