dataset,train/test_type,10,20
normal_d=1764,Holdout: 70/30,0.38,0.43333333333333335
normal_d=1764,Holdout: 80/20,0.455,0.435
normal_d=1764,Holdout: 90/10,0.44,0.43
normal_d=1764,10-fold,0.39499999999999996,0.437
normal_d=900,Holdout: 70/30,0.37666666666666665,0.4866666666666667
normal_d=900,Holdout: 80/20,0.385,0.455
normal_d=900,Holdout: 90/10,0.42,0.43
normal_d=900,10-fold,0.434,0.45599999999999996
normal_d=459,Holdout: 70/30,0.3433333333333333,0.37666666666666665
normal_d=459,Holdout: 80/20,0.385,0.375
normal_d=459,Holdout: 90/10,0.36,0.36
normal_d=459,10-fold,0.38499999999999995,0.4090000000000001
normal_d=540,Holdout: 70/30,0.42333333333333334,0.42333333333333334
normal_d=540,Holdout: 80/20,0.36,0.415
normal_d=540,Holdout: 90/10,0.41,0.45
normal_d=540,10-fold,0.376,0.404
