dataset,train/test_type,10,20
normal_d=1764,Holdout: 70/30,0.31,0.3333333333333333
normal_d=1764,Holdout: 80/20,0.265,0.27
normal_d=1764,Holdout: 90/10,0.33,0.3
normal_d=1764,10-fold,0.32499999999999996,0.332
normal_d=900,Holdout: 70/30,0.4033333333333333,0.39666666666666667
normal_d=900,Holdout: 80/20,0.4,0.36
normal_d=900,Holdout: 90/10,0.37,0.37
normal_d=900,10-fold,0.385,0.40099999999999997
normal_d=459,Holdout: 70/30,0.3,0.2833333333333333
normal_d=459,Holdout: 80/20,0.275,0.275
normal_d=459,Holdout: 90/10,0.31,0.35
normal_d=459,10-fold,0.349,0.337
normal_d=540,Holdout: 70/30,0.31,0.29333333333333333
normal_d=540,Holdout: 80/20,0.285,0.255
normal_d=540,Holdout: 90/10,0.27,0.32
normal_d=540,10-fold,0.31399999999999995,0.29900000000000004
