dataset,train/test_type,10,20
normal_d=1764,Holdout: 70/30,0.3433333333333333,0.32
normal_d=1764,Holdout: 80/20,0.365,0.265
normal_d=1764,Holdout: 90/10,0.34,0.23
normal_d=1764,10-fold,0.29900000000000004,0.305
normal_d=900,Holdout: 70/30,0.35333333333333333,0.31
normal_d=900,Holdout: 80/20,0.31,0.295
normal_d=900,Holdout: 90/10,0.31,0.36
normal_d=900,10-fold,0.3330000000000001,0.33999999999999997
normal_d=459,Holdout: 70/30,0.22333333333333333,0.22666666666666666
normal_d=459,Holdout: 80/20,0.235,0.235
normal_d=459,Holdout: 90/10,0.23,0.18
normal_d=459,10-fold,0.29800000000000004,0.275
normal_d=540,Holdout: 70/30,0.25666666666666665,0.3
normal_d=540,Holdout: 80/20,0.32,0.295
normal_d=540,Holdout: 90/10,0.3,0.38
normal_d=540,10-fold,0.32100000000000006,0.329
