dataset,train/test_type,10,20
normal_d=1764,Holdout: 70/30,0.21,0.20666666666666667
normal_d=1764,Holdout: 80/20,0.345,0.3
normal_d=1764,Holdout: 90/10,0.25,0.23
normal_d=1764,10-fold,0.25800000000000006,0.28099999999999997
normal_d=900,Holdout: 70/30,0.23333333333333334,0.2633333333333333
normal_d=900,Holdout: 80/20,0.32,0.35
normal_d=900,Holdout: 90/10,0.26,0.09
normal_d=900,10-fold,0.24000000000000005,0.24100000000000002
normal_d=459,Holdout: 70/30,0.23,0.29333333333333333
normal_d=459,Holdout: 80/20,0.23,0.245
normal_d=459,Holdout: 90/10,0.26,0.22
normal_d=459,10-fold,0.21600000000000003,0.21400000000000002
normal_d=540,Holdout: 70/30,0.31666666666666665,0.2733333333333333
normal_d=540,Holdout: 80/20,0.245,0.315
normal_d=540,Holdout: 90/10,0.25,0.19
normal_d=540,10-fold,0.26,0.29700000000000004
