dataset,train/test_type,3,4,5,6,7
normal_d=1764,Holdout: 70/30,0.31,0.2866666666666667,0.2733333333333333,0.2966666666666667,0.2633333333333333
normal_d=1764,Holdout: 80/20,0.275,0.325,0.3,0.31,0.29
normal_d=1764,Holdout: 90/10,0.36,0.34,0.31,0.29,0.29
normal_d=1764,10-fold,0.31300000000000006,0.32999999999999996,0.33699999999999997,0.32199999999999995,0.331
normal_d=900,Holdout: 70/30,0.31,0.26666666666666666,0.2833333333333333,0.30666666666666664,0.32666666666666666
normal_d=900,Holdout: 80/20,0.36,0.365,0.355,0.34,0.35
normal_d=900,Holdout: 90/10,0.28,0.32,0.35,0.35,0.33
normal_d=900,10-fold,0.294,0.341,0.34299999999999997,0.33299999999999996,0.325
normal_d=459,Holdout: 70/30,0.31666666666666665,0.2966666666666667,0.32666666666666666,0.3,0.30666666666666664
normal_d=459,Holdout: 80/20,0.31,0.31,0.26,0.295,0.285
normal_d=459,Holdout: 90/10,0.33,0.3,0.27,0.26,0.3
normal_d=459,10-fold,0.35,0.329,0.31400000000000006,0.31599999999999995,0.306
normal_d=540,Holdout: 70/30,0.29333333333333333,0.2966666666666667,0.29,0.28,0.28
normal_d=540,Holdout: 80/20,0.27,0.285,0.29,0.295,0.315
normal_d=540,Holdout: 90/10,0.33,0.35,0.3,0.3,0.32
normal_d=540,10-fold,0.28900000000000003,0.30999999999999994,0.31999999999999995,0.331,0.324
