dataset,train/test_type,3,4,5,6,7
normal_d=1764,Holdout: 70/30,0.31,0.2866666666666667,0.26666666666666666,0.2866666666666667,0.26666666666666666
normal_d=1764,Holdout: 80/20,0.275,0.325,0.3,0.32,0.29
normal_d=1764,Holdout: 90/10,0.36,0.34,0.31,0.27,0.26
normal_d=1764,10-fold,0.312,0.3309999999999999,0.344,0.32399999999999995,0.316
normal_d=900,Holdout: 70/30,0.31,0.26666666666666666,0.28,0.2966666666666667,0.3333333333333333
normal_d=900,Holdout: 80/20,0.36,0.365,0.38,0.365,0.335
normal_d=900,Holdout: 90/10,0.28,0.32,0.34,0.34,0.32
normal_d=900,10-fold,0.294,0.341,0.345,0.34099999999999997,0.32799999999999996
normal_d=459,Holdout: 70/30,0.31666666666666665,0.2966666666666667,0.33,0.3,0.30333333333333334
normal_d=459,Holdout: 80/20,0.31,0.31,0.255,0.3,0.26
normal_d=459,Holdout: 90/10,0.33,0.3,0.27,0.26,0.28
normal_d=459,10-fold,0.35,0.328,0.313,0.308,0.301
normal_d=540,Holdout: 70/30,0.29333333333333333,0.30666666666666664,0.29,0.2633333333333333,0.2833333333333333
normal_d=540,Holdout: 80/20,0.27,0.285,0.3,0.305,0.315
normal_d=540,Holdout: 90/10,0.33,0.35,0.3,0.3,0.33
normal_d=540,10-fold,0.28900000000000003,0.31199999999999994,0.318,0.33299999999999996,0.325
