dataset,train/test_type,1,2,3,4,5
normal_d=1764,Holdout: 70/30,0.3,0.3,0.31,0.2833333333333333,0.29
normal_d=1764,Holdout: 80/20,0.265,0.285,0.29,0.26,0.245
normal_d=1764,Holdout: 90/10,0.3,0.31,0.32,0.3,0.27
normal_d=1764,10-fold,0.339,0.32999999999999996,0.34199999999999997,0.31800000000000006,0.31799999999999995
normal_d=900,Holdout: 70/30,0.39666666666666667,0.38,0.38,0.42,0.38666666666666666
normal_d=900,Holdout: 80/20,0.395,0.36,0.41,0.42,0.39
normal_d=900,Holdout: 90/10,0.42,0.35,0.39,0.4,0.37
normal_d=900,10-fold,0.395,0.377,0.35500000000000004,0.355,0.3470000000000001
normal_d=459,Holdout: 70/30,0.2866666666666667,0.2866666666666667,0.31333333333333335,0.3,0.2966666666666667
normal_d=459,Holdout: 80/20,0.27,0.26,0.285,0.27,0.245
normal_d=459,Holdout: 90/10,0.31,0.29,0.32,0.31,0.3
normal_d=459,10-fold,0.33799999999999997,0.343,0.33399999999999996,0.321,0.324
normal_d=540,Holdout: 70/30,0.31333333333333335,0.30333333333333334,0.29,0.31333333333333335,0.30666666666666664
normal_d=540,Holdout: 80/20,0.31,0.3,0.255,0.25,0.255
normal_d=540,Holdout: 90/10,0.29,0.31,0.25,0.23,0.27
normal_d=540,10-fold,0.34199999999999997,0.323,0.308,0.30799999999999994,0.33099999999999996
