dataset,train/test_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
normal_d=1764,Holdout: 70/30,0.3,0.3,0.31,0.2833333333333333,0.29,0.31,0.2966666666666667,0.29,0.28,0.2866666666666667,0.28,0.27,0.26666666666666666,0.28,0.28,0.27,0.27666666666666667,0.28,0.26666666666666666,0.2633333333333333
normal_d=1764,Holdout: 80/20,0.265,0.285,0.29,0.26,0.245,0.27,0.265,0.285,0.285,0.27,0.26,0.26,0.26,0.25,0.25,0.255,0.255,0.235,0.235,0.235
normal_d=1764,Holdout: 90/10,0.3,0.31,0.32,0.3,0.27,0.27,0.3,0.24,0.29,0.28,0.27,0.26,0.25,0.26,0.27,0.26,0.25,0.25,0.29,0.3
normal_d=1764,10-fold,0.341,0.339,0.33399999999999996,0.32199999999999995,0.322,0.32199999999999995,0.32099999999999995,0.30399999999999994,0.31399999999999995,0.31599999999999995,0.308,0.306,0.3,0.3,0.292,0.299,0.294,0.288,0.29800000000000004,0.299
normal_d=900,Holdout: 70/30,0.39666666666666667,0.38,0.38,0.42,0.38666666666666666,0.37,0.36333333333333334,0.35,0.33666666666666667,0.32666666666666666,0.32,0.31666666666666665,0.30666666666666664,0.31,0.32666666666666666,0.3333333333333333,0.3433333333333333,0.33666666666666667,0.32666666666666666,0.3233333333333333
normal_d=900,Holdout: 80/20,0.395,0.36,0.41,0.42,0.39,0.375,0.385,0.375,0.35,0.325,0.305,0.305,0.315,0.33,0.325,0.315,0.335,0.335,0.325,0.305
normal_d=900,Holdout: 90/10,0.42,0.35,0.39,0.4,0.37,0.36,0.35,0.4,0.37,0.35,0.33,0.31,0.29,0.28,0.31,0.29,0.28,0.29,0.31,0.3
normal_d=900,10-fold,0.40199999999999997,0.39299999999999996,0.386,0.366,0.368,0.37,0.358,0.364,0.34900000000000003,0.34400000000000003,0.33999999999999997,0.33799999999999997,0.33599999999999997,0.33,0.333,0.32599999999999996,0.32499999999999996,0.324,0.32799999999999996,0.33599999999999997
normal_d=459,Holdout: 70/30,0.2866666666666667,0.2866666666666667,0.31333333333333335,0.3,0.2966666666666667,0.30333333333333334,0.29,0.2833333333333333,0.27,0.27666666666666667,0.2866666666666667,0.2633333333333333,0.26,0.25666666666666665,0.25333333333333335,0.26,0.26666666666666666,0.26666666666666666,0.25333333333333335,0.26
normal_d=459,Holdout: 80/20,0.27,0.26,0.285,0.27,0.245,0.29,0.305,0.3,0.29,0.28,0.275,0.25,0.255,0.255,0.25,0.24,0.24,0.23,0.235,0.23
normal_d=459,Holdout: 90/10,0.31,0.29,0.32,0.31,0.3,0.32,0.31,0.27,0.28,0.25,0.28,0.26,0.25,0.25,0.23,0.24,0.27,0.26,0.27,0.28
normal_d=459,10-fold,0.342,0.34299999999999997,0.332,0.324,0.321,0.333,0.314,0.32199999999999995,0.31999999999999995,0.31,0.314,0.31300000000000006,0.308,0.299,0.29900000000000004,0.30499999999999994,0.30799999999999994,0.29900000000000004,0.293,0.292
normal_d=540,Holdout: 70/30,0.31333333333333335,0.30333333333333334,0.29,0.31333333333333335,0.30666666666666664,0.30333333333333334,0.31,0.2966666666666667,0.2833333333333333,0.27,0.28,0.2866666666666667,0.27666666666666667,0.27666666666666667,0.27,0.2733333333333333,0.28,0.2633333333333333,0.2733333333333333,0.26666666666666666
normal_d=540,Holdout: 80/20,0.31,0.3,0.255,0.25,0.255,0.27,0.27,0.27,0.29,0.28,0.275,0.28,0.27,0.245,0.26,0.265,0.26,0.285,0.235,0.265
normal_d=540,Holdout: 90/10,0.29,0.31,0.25,0.23,0.27,0.27,0.27,0.31,0.29,0.3,0.29,0.32,0.28,0.25,0.25,0.25,0.27,0.27,0.28,0.25
normal_d=540,10-fold,0.34,0.33199999999999996,0.313,0.302,0.32,0.304,0.31699999999999995,0.312,0.30900000000000005,0.304,0.296,0.31,0.308,0.307,0.297,0.30199999999999994,0.30599999999999994,0.3,0.29000000000000004,0.286
