dataset,train/test_type,identity,logistic,tanh,relu
normal_d=1764,Holdout: 70/30,0.4866666666666667,0.48333333333333334,0.4866666666666667,0.47333333333333333
normal_d=1764,Holdout: 80/20,0.5,0.5,0.52,0.515
normal_d=1764,Holdout: 90/10,0.47,0.5,0.49,0.49
normal_d=1764,10-fold,0.49800000000000005,0.523,0.534,0.5529999999999999
normal_d=900,Holdout: 70/30,0.4666666666666667,0.5366666666666666,0.53,0.5533333333333333
normal_d=900,Holdout: 80/20,0.515,0.555,0.565,0.56
normal_d=900,Holdout: 90/10,0.49,0.52,0.53,0.54
normal_d=900,10-fold,0.5029999999999999,0.548,0.5429999999999999,0.5690000000000001
normal_d=459,Holdout: 70/30,0.4166666666666667,0.44,0.4266666666666667,0.43
normal_d=459,Holdout: 80/20,0.485,0.48,0.5,0.555
normal_d=459,Holdout: 90/10,0.48,0.42,0.49,0.52
normal_d=459,10-fold,0.472,0.476,0.505,0.479
normal_d=540,Holdout: 70/30,0.48,0.45,0.48,0.48
normal_d=540,Holdout: 80/20,0.485,0.52,0.5,0.55
normal_d=540,Holdout: 90/10,0.44,0.44,0.45,0.46
normal_d=540,10-fold,0.4800000000000001,0.49799999999999994,0.5069999999999999,0.5269999999999999
