dataset,train/test_type,0.001,0.01,0.1
normal_d=1764,Holdout: 70/30,0.49,0.48333333333333334,0.44666666666666666
normal_d=1764,Holdout: 80/20,0.54,0.525,0.5
normal_d=1764,Holdout: 90/10,0.5,0.56,0.47
normal_d=1764,10-fold,0.5589999999999999,0.538,0.5050000000000001
normal_d=900,Holdout: 70/30,0.61,0.57,0.5266666666666666
normal_d=900,Holdout: 80/20,0.565,0.595,0.51
normal_d=900,Holdout: 90/10,0.54,0.56,0.56
normal_d=900,10-fold,0.5700000000000001,0.5780000000000001,0.5269999999999999
normal_d=459,Holdout: 70/30,0.44666666666666666,0.45,0.44666666666666666
normal_d=459,Holdout: 80/20,0.52,0.525,0.465
normal_d=459,Holdout: 90/10,0.46,0.41,0.43
normal_d=459,10-fold,0.508,0.49800000000000005,0.454
normal_d=540,Holdout: 70/30,0.4766666666666667,0.49333333333333335,0.49666666666666665
normal_d=540,Holdout: 80/20,0.535,0.515,0.48
normal_d=540,Holdout: 90/10,0.47,0.46,0.43
normal_d=540,10-fold,0.53,0.515,0.471
