dataset,train/test_type,100,1000,5000
normal_d=1764,Holdout: 70/30,0.5033333333333333,0.4866666666666667,0.49
normal_d=1764,Holdout: 80/20,0.53,0.53,0.545
normal_d=1764,Holdout: 90/10,0.5,0.54,0.5
normal_d=1764,10-fold,0.5609999999999999,0.5730000000000001,0.559
normal_d=900,Holdout: 70/30,0.5866666666666667,0.6,0.5966666666666667
normal_d=900,Holdout: 80/20,0.615,0.635,0.57
normal_d=900,Holdout: 90/10,0.53,0.59,0.54
normal_d=900,10-fold,0.5860000000000001,0.571,0.567
normal_d=459,Holdout: 70/30,0.43666666666666665,0.41,0.42
normal_d=459,Holdout: 80/20,0.515,0.48,0.44
normal_d=459,Holdout: 90/10,0.43,0.45,0.48
normal_d=459,10-fold,0.475,0.485,0.49000000000000005
normal_d=540,Holdout: 70/30,0.5066666666666667,0.5033333333333333,0.48
normal_d=540,Holdout: 80/20,0.52,0.515,0.52
normal_d=540,Holdout: 90/10,0.52,0.45,0.47
normal_d=540,10-fold,0.514,0.5369999999999999,0.54
