dataset,train/test_type,1e-09
normal_d=1764,Holdout: 70/30,0.4633333333333333
normal_d=1764,Holdout: 80/20,0.495
normal_d=1764,Holdout: 90/10,0.48
normal_d=1764,10-fold,0.5149999999999999
normal_d=900,Holdout: 70/30,0.5366666666666666
normal_d=900,Holdout: 80/20,0.515
normal_d=900,Holdout: 90/10,0.48
normal_d=900,10-fold,0.5340000000000001
normal_d=459,Holdout: 70/30,0.37333333333333335
normal_d=459,Holdout: 80/20,0.415
normal_d=459,Holdout: 90/10,0.49
normal_d=459,10-fold,0.402
normal_d=540,Holdout: 70/30,0.45
normal_d=540,Holdout: 80/20,0.505
normal_d=540,Holdout: 90/10,0.47
normal_d=540,10-fold,0.49799999999999994
