dataset,train/test_type,"random_forest:n_estimators=10,criterion=entropy","random_forest:n_estimators=100,criterion=gini","random_forest:n_estimators=100,criterion=entropy","random_forest:n_estimators=10,criterion=gini"
normal_d=1764,Holdout:70/30,0.4,0.47333333333333333,0.48333333333333334,0.32666666666666666
normal_d=1764,Holdout:80/20,0.335,0.495,0.495,0.36
normal_d=1764,Holdout:90/10,0.4,0.49,0.53,0.39
normal_d=1764,10-fold,0.39,0.556,0.542,0.384
normal_d=900,Holdout:70/30,0.4166666666666667,0.5566666666666666,0.5433333333333333,0.4266666666666667
normal_d=900,Holdout:80/20,0.405,0.52,0.525,0.315
normal_d=900,Holdout:90/10,0.38,0.56,0.54,0.42
normal_d=900,10-fold,0.393,0.569,0.535,0.403
normal_d=459,Holdout:70/30,0.28,0.32,0.3466666666666667,0.24333333333333335
normal_d=459,Holdout:80/20,0.23,0.41,0.365,0.265
normal_d=459,Holdout:90/10,0.31,0.33,0.31,0.29
normal_d=459,10-fold,0.288,0.38899999999999996,0.381,0.29600000000000004
normal_d=540,Holdout:70/30,0.32,0.45666666666666667,0.47333333333333333,0.3
normal_d=540,Holdout:80/20,0.35,0.49,0.505,0.37
normal_d=540,Holdout:90/10,0.34,0.47,0.5,0.38
normal_d=540,10-fold,0.345,0.514,0.49700000000000005,0.3509999999999999
