dataset,train/test_type,10,20
normal_d=1764,Holdout: 70/30,0.487,0.473
normal_d=1764,Holdout: 80/20,0.530,0.560
normal_d=1764,Holdout: 90/10,0.510,0.500
normal_d=1764,10-fold,0.564,0.573
normal_d=900,Holdout: 70/30,0.600,0.620
normal_d=900,Holdout: 80/20,0.565,0.630
normal_d=900,Holdout: 90/10,0.620,0.560
normal_d=900,10-fold,0.565,0.578
normal_d=459,Holdout: 70/30,0.317,0.343
normal_d=459,Holdout: 80/20,0.360,0.365
normal_d=459,Holdout: 90/10,0.330,0.390
normal_d=459,10-fold,0.314,0.392
normal_d=540,Holdout: 70/30,0.507,0.493
normal_d=540,Holdout: 80/20,0.555,0.525
normal_d=540,Holdout: 90/10,0.450,0.490
normal_d=540,10-fold,0.536,0.536
